Start  Time: 2024/01/11, 22:45:21.599
Export Time: 2024/01/11, 22:50:25.097
Min  (dBA):   88.9
Max  (dBA):   99.1
Peak (dBA):   107.8
Avg  (dBA):   92.4
TWA  (dBA):   65.4
Dose (%):    1.1

Recorded Value (dBA),Response Time (seconds)
90.3,0.2
90.0,0.2
89.2,0.2
89.6,0.2
90.0,0.2
89.7,0.2
89.0,0.2
89.9,0.2
89.6,0.2
89.0,0.2
89.5,0.2
89.7,0.2
89.7,0.2
89.8,0.2
90.0,0.2
90.0,0.2
90.3,0.2
89.8,0.2
90.7,0.2
90.7,0.2
92.2,0.2
93.1,0.2
93.6,0.2
93.3,0.2
92.3,0.2
92.3,0.2
92.5,0.2
92.7,0.2
93.0,0.2
92.8,0.2
92.2,0.2
91.4,0.2
91.3,0.2
91.7,0.2
91.8,0.2
91.6,0.2
91.6,0.2
92.2,0.2
91.3,0.2
91.1,0.2
91.8,0.2
91.6,0.2
91.4,0.2
92.0,0.2
92.2,0.2
91.2,0.2
91.6,0.2
90.7,0.2
91.8,0.2
91.9,0.2
90.9,0.2
91.8,0.2
91.5,0.2
90.9,0.2
92.0,0.2
91.0,0.2
91.5,0.2
91.1,0.2
91.2,0.2
91.8,0.2
91.1,0.2
91.6,0.2
91.3,0.2
91.6,0.2
91.4,0.2
91.2,0.2
92.1,0.2
91.4,0.2
91.8,0.2
91.5,0.2
91.5,0.2
91.3,0.2
91.4,0.2
91.6,0.2
92.1,0.2
91.7,0.2
92.0,0.2
91.6,0.2
92.1,0.2
91.7,0.2
91.4,0.2
92.1,0.2
92.3,0.2
91.1,0.2
91.9,0.2
92.8,0.2
92.9,0.2
93.0,0.2
92.9,0.2
93.3,0.2
93.0,0.2
95.4,0.2
92.2,0.2
92.2,0.2
92.4,0.2
93.1,0.2
92.0,0.2
94.7,0.2
92.4,0.2
94.4,0.2
91.9,0.2
91.5,0.2
91.6,0.2
91.7,0.2
91.5,0.2
96.1,0.2
91.8,0.2
92.7,0.2
93.2,0.2
92.8,0.2
95.1,0.2
92.9,0.2
92.8,0.2
92.5,0.2
92.7,0.2
93.1,0.2
93.3,0.2
93.1,0.2
92.9,0.2
93.4,0.2
94.1,0.2
92.5,0.2
91.8,0.2
92.3,0.2
92.3,0.2
92.2,0.2
91.8,0.2
92.5,0.2
97.4,0.2
93.7,0.2
92.3,0.2
94.7,0.2
92.6,0.2
95.9,0.2
99.1,0.2
94.0,0.2
93.4,0.2
94.7,0.2
92.8,0.2
94.1,0.2
94.7,0.2
96.5,0.2
96.0,0.2
96.4,0.2
96.0,0.2
95.9,0.2
95.9,0.2
96.0,0.2
94.9,0.2
93.8,0.2
95.2,0.2
93.1,0.2
93.2,0.2
92.3,0.2
90.9,0.2
91.1,0.2
89.9,0.2
89.2,0.2
88.9,0.2
89.7,0.2
89.3,0.2
91.2,0.2
90.1,0.2
91.8,0.2
91.0,0.2
91.4,0.2
92.6,0.2
91.4,0.2
90.8,0.2
91.2,0.2
91.8,0.2
90.7,0.2
91.0,0.2
90.2,0.2
90.2,0.2
90.1,0.2
89.7,0.2
89.1,0.2
89.8,0.2
90.5,0.2
90.6,0.2
92.5,0.2
93.1,0.2
92.8,0.2
93.6,0.2
93.1,0.2
92.7,0.2
92.3,0.2
92.0,0.2
91.6,0.2
92.2,0.2
94.2,0.2
92.6,0.2
92.0,0.2
91.2,0.2
91.8,0.2
91.0,0.2
91.0,0.2
91.4,0.2
90.8,0.2
90.2,0.2
91.2,0.2
89.7,0.2
91.5,0.2
90.1,0.2
90.3,0.2
90.9,0.2
90.6,0.2
90.4,0.2
91.0,0.2
90.3,0.2
90.6,0.2
91.1,0.2
91.8,0.2
90.0,0.2
93.0,0.2
92.6,0.2
93.2,0.2
93.6,0.2
93.5,0.2
94.1,0.2
94.0,0.2
93.1,0.2
92.4,0.2
92.0,0.2
92.3,0.2
91.8,0.2
91.4,0.2
92.9,0.2
93.4,0.2
93.7,0.2
92.8,0.2
92.0,0.2
91.6,0.2
92.4,0.2
93.0,0.2
93.7,0.2
93.4,0.2
92.8,0.2
91.8,0.2
91.5,0.2
91.4,0.2
92.2,0.2
93.8,0.2
93.7,0.2
93.6,0.2
93.9,0.2
93.4,0.2
92.7,0.2
92.2,0.2
91.1,0.2
91.8,0.2
90.8,0.2
91.0,0.2
92.2,0.2
95.3,0.2
93.5,0.2
97.1,0.2
91.2,0.2
91.3,0.2
90.8,0.2
90.9,0.2
92.4,0.2
90.9,0.2
91.1,0.2
91.1,0.2
91.4,0.2
91.8,0.2
94.2,0.2
92.1,0.2
92.0,0.2
92.1,0.2
91.8,0.2
94.1,0.2
91.0,0.2
91.5,0.2
91.3,0.2
91.5,0.2
91.1,0.2
98.5,0.2
91.0,0.2
91.0,0.2
91.1,0.2
91.6,0.2
91.3,0.2
92.5,0.2
